"","State","County","Presence.of.Water.Violation","Population","Deaths","Premature_Death_Rate","Self_Reported_Poor_health","Average.Number.of.Physically.Unhealthy.Days","Average.Number.of.Mentally.Unhealthy.Days","Low_Birthweight_percentage","Percentage_Smokers","Percentage_Adults_with_Obesity","Food.Environment.Index","Percentage_Physically_Inactive","Percentage__With.Access.to.Exercise.Opportunities","Percentage_Excessive.Drinking","Percentage_Driving.Deaths.with.Alcohol.Involvement","Chlamydia.Rate","Teen.Birth.Rate","Percentage_Uninsured","Primary.Care.Physicians.Ratio","Dentist.Ratio","Mental.Health.Provider.Ratio","Preventable.Hospitalization.Rate","Percentage_With.Annual.Mammogram","Percentage_Vaccinated","High.School.Graduation.Rate","Percentage_Some.College","Percentage_Unemployed","Percentage_Children.in.Poverty","Percentage_Single.Parent.Households","Social.Association.Rate","Violent.Crime.Rate","Injury.Death.Rate","Average.Daily.PM2.5","Percentage_.Severe.Housing.Problems","Percentage_.Drive.Alone.to.Work","Percentage_Long.Commute...Drives.Alone","Life.Expectancy","Age.Adjusted.Death.Rate","Child.Mortality.Rate","Infant.Mortality.Rate","Percentage_Frequent.Physical.Distress","Percentage_Frequent.Mental.Distress","Percentage_Adults.with.Diabetes","HIV.Prevalence.Rate","Percentage_Food.Insecure","Percentage_.Limited.Access.to.Healthy.Foods","Drug.Overdose.Mortality.Rate","Motor.Vehicle.Mortality.Rate","Percentage_Insufficient.Sleep","Other.Primary.Care.Provider.Rate","Percentage_Disconnected.Youth","Average.Grade.Performance","Median.Household.Income","Percentage_.Enrolled.in.Free.or.Reduced.Lunch","Homicide.Rate","Suicide.Rate..Age.Adjusted.","Firearm.Fatalities.Rate","Average.Traffic.Volume.per.Meter.of.Major.Roadways","Percentage_Homeowners","Percentage_Housing.Cost.Burden","Percentage_less.than.18.years.of.age","Percentage_.65.and.over","Percentage_.Not.Proficient.in.English","Percentage_Female","Percentage_Rural","standardized_deaths"
"47","Michigan","Macomb","No",868704,11677,7698,16.1560361,3.988557226,4.380921862,8.683947389,18.55809616,32.1,8,25,95,21.77722632,27.54716981,401,13.75436734,6.394151893,1854,1160,536,6246,41,49,88.565356,67.93116041,4.049088293,16,31,5.646248745,293,85.32281618,11,14.16958055,87,44.4,77.90207185,372.0956519,51.24563202,5.923398977,12.13362418,13.12003271,11,142.3,12.1,5.161526186,40.01738423,7.118064522,36.5082,64,6.40260705,2.873825674,62191,48.2223375,4.105302329,14.17215151,9.680060182,798.9074305,72.98103565,12.33635269,21.03539375,16.99165142,2.464230774,51.31870607,2.805305252,100.356734856008
"48","Michigan","Manistee","No",24444,419,8340,13.88721355,3.867370522,4.215027042,7.1682044,16.13663451,30,8,22,90,18.29393427,25,204.7,33.11258278,7.506435759,1879,1363,791,3026,45,41,87.77777778,58.54620976,5.739429883,21.9,31,12.69087485,260,103.1020629,7.7,12.73182957,80,24,77.39758692,390.4815901,66.2031695142982,7.1221216307125,11.55636739,12.95713241,9.6,51.1,12.7,3.430297115,28.63844643,14.00797287,35.63017386,106,11.0378275771963,2.662929428,47401,68.91346323,8.163662170125,26.06842665,12.2740551,103.1594362,82.47315191,11.462026,17.38421396,25.75831703,0.332268371,48.29582518,61.16120163,0
"49","Michigan","Marquette","No",66939,853,6543,14.88526321,4.144720364,4.312574354,6.831162897,17.3155782,35.7,7.8,20,84,21.82955301,33.33333333,400,10.62723807,5.695941568,937,1167,268,3397,51,51,87.85046729,70.98455986,4.8824872,14.8,28,15.93937025,193,73.27782165,6.6,14.01407112,80,16.7,78.7384684,337.2275395,45.72663785,7.1221216307125,12.08179402,13.31348023,9.8,58.8,13.6,4.239713953,18.55073626,8.298755187,33.22144352,154,7.247820673,3.047277374,54093,40.13861868,8.163662170125,19.97363944,12.56191228,105.315931,69.33175591,12.93577619,18.10692164,19.12171508,0.578107327,49.8707078,41.48963132,13.1252941176471
"50","Michigan","Mason","No",28884,380,7346,15.49765663,4.15302142,4.424246012,7.604373758,17.64429208,28.3,8.1,25,85,17.69016122,28.57142857,199.5,26.8242356,6.351923597,1322,1940,331,4142,54,32,90.52631579,65.4578877,4.886158294,18.6,34,12.38262305,284,91.25096781,8.4,14.87263763,81,16.7,78.51865036,327.6713942,66.2031695142982,7.1221216307125,12.49877903,13.78672679,14.5,56.7,12.5,2.543785849,21.82678721,17.82698907,34.25822947,85,11.90661479,2.889410244,51083,57.3006135,8.163662170125,19.59406281,10.36942816,89.71755052,78.2005778,11.75671084,20.2371134,23.55326461,0.288637194,50.35395189,62.68942693,0
"51","Michigan","Mecosta","Yes",43264,520,6056,16.30559346,4.330232903,4.445875597,6.833159903,18.83352994,34,7,27,68,20.6134487,45,357.2,15.54684332,6.464208243,1972,1979,778,3894,43,33,85.7881137,59.22150139,4.956362461,20.7,34,11.29266438,587,58.2228178,8.9,16.38763683,79,28.7,78.89127456,326.6884986,43.52827784,7.327285415,13.17354704,14.36660703,6.8,47.9,15,10.49846186,9.219634749,10.23656369,36.69697459,62,5.801248699,2.946392805,45804,58.14121038,8.163662170125,15.34565708,11.55214639,152.078256,73.29423635,13.75467121,18.35572396,18.31438742,0.092217342,49.82431967,66.72508061,5.408
"52","Michigan","Menominee","No",23234,352,5758,14.36257559,4.088974207,4.282836618,4.925053533,17.39027041,30.9,7.3,26,72,19.93069979,25,212.6,23.7632318,6.95726986,2881,1642,884,3356,48,32,85.83333333,59.75292588,4.047554225,17.3,35,10.4139547,222,80.63685962,7.9,11.24232404,80,25.2,79.75740007,327.6616157,66.2031695142982,7.1221216307125,11.98031151,13.20276433,14.4,49.3,11.7,14.19407421,14.42793248,11.57280513,32.71249066,43,11.0378275771963,2.984985613,46486,55.46990809,8.163662170125,20.97793389,15.44110078,170.5460408,78.42475387,8.166216737,18.19170691,24.59208981,0.162111046,49.1102119,64.33476216,0
"53","Michigan","Midland","No",83389,894,5664,13.18834648,3.606864338,3.816898452,7.105661011,15.45459736,38,8.1,21,83,20.93460896,40.90909091,269.7,12.98146269,5.005602737,1083,1460,418,3732,45,51,93.81107492,72.60473772,3.984142228,13.5,25,10.19050245,126,50.58241698,9.4,10.93171382,85,25.2,80.42841537,292.0439645,27.82376428,4.196743327,10.68040974,12.08093376,12.3,42.3,10.9,6.063310329,12.39593413,10.25847949,35.09548392,132,4.993160055,3.183124379,58057,38.7792489,8.163662170125,11.14398442,8.630175408,122.6053254,75.61513361,9.374062294,21.24649978,18.35859102,0.214325572,50.68442116,42.78061438,10.1077575757576
"54","Michigan","Missaukee","No",15006,199,6190,16.63547898,4.287226947,4.531108634,5.951448708,17.98887075,37.3,8.2,23,67,18.72150224,16.66666667,233.4,29.96378005,7.558188743,7499,7557,5038,3667,49,51,91.17647059,51.34451123,5.023347955,21.1,31,10.66808908,210,63.8697058,7.3,14.97005988,78,23.1,79.07042009,323.638512,66.2031695142982,7.1221216307125,12.5847481,13.85352746,14.1,217.902222222222,12.4,2.48101008,22.0328776529143,15.20406709,37.70181325,19,12.12976023,2.871489364,48413,58.76010782,8.163662170125,16.8593408920752,14.642515601938,10.0835577,81.38377302,11.75666439,22.98683253,20.50552505,0.427594071,49.1695891,100,0.937875
"55","Michigan","Monroe","No",149699,2121,8231,13.67509734,3.864872306,3.9797511,7.176760965,16.60699646,37.5,8.2,28,79,19.78783828,46.36363636,236.6,18.41186476,4.993055048,3401,2351,607,5823,40,49,91.55807365,63.57534207,4.182670098,13.5,28,8.286056038,240,84.28076849,11,11.77475861,87,35.9,77.73980742,381.9307982,41.43932592,5.103969754,11.24013102,12.29928635,10.7,70.1,10.5,5.516679844,36.27897867,15.23647002,35.29181253,50,7.379102982,3.03540195,62522,42.40792688,1.523647002,16.44087866,9.082555083,95.11278121,80.08400951,10.5155349,21.39937117,18.12163069,0.332300919,50.64378253,37.55599555,6.1572853470437
"56","Michigan","Montcalm","No",63209,889,7647,15.86811844,4.163103964,4.367244185,6.954626511,19.66211771,35.9,8,25,66,20.19540235,22.03389831,295.8,28.54560518,6.996734056,2444,2132,508,3878,45,31,87.23404255,53.96908567,4.228418909,19.9,35,12.58851298,377,81.24427022,10,14.05335068,83,44.8,77.83561493,379.0495651,52.41822757,4.844570044,12.49106578,13.69160923,12.7,92.5,12.7,3.766998914,19.42338786,18.52973344,33.23250696,100,10.99081365,2.854438077,50396,58.84426306,8.163662170125,17.18203437,12.32889704,23.49522637,78.19115357,11.14060664,22.23142821,17.50093797,0.362312763,48.26632066,84.61842064,1.37410869565217
